#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:dna" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:dna" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            <parameter id="BDBirthRate.t:dna" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:dna" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.dna" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:dna" name="distribution" x="@BDBirthRate.t:dna">
#            <LogNormal id="LogNormal.4" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="0.0">1000.0</parameter>
#                <parameter id="RealParameter1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="0.0">3.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="DeathRatePrior.t:dna" name="distribution" x="@BDDeathRate.t:dna">
#            <Uniform id="Uniform.5" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="fastUcldStdevPrior.c:dna" name="distribution">
#            <parameter id="fastUcldStdev.c:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.2</parameter>
#            <Gamma id="Gamma.10" name="distr">
#                <parameter estimate="false" id="RealParameter.47" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.48" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#        <prior id="FrequenciesPrior.s:dna" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="KappaPrior.s:dna" name="distribution">
#            <parameter id="kappa.s:dna" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@dna" id="treeLikelihood.dna" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:dna">
#            <siteModel id="SiteModel.s:dna" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:dna" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:dna" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:dna" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:dna" kappa="@kappa.s:dna" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:dna" id="estimatedFreqs.s:dna" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="FastRelaxedClock.c:dna" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:dna">
#                <LogNormal S="@fastUcldStdev.c:dna" id="FastLogNormalDistributionModel.c:dna" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter3" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="18" id="rateCategories.c:dna" lower="0" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter id="fastUcldMean.c:dna" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	fastUcldMean	fastUcldStdev	BirthDeath	BDBirthRate	BDDeathRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ratesStat.mean	ratesStat.variance	ratesStat.coefficientOfVariation
0	-7950.31481464221	-7939.558175550062	-10.756639092148397	-7939.558175550062	2.964623994332215	2.0	1.0	0.2	-6.7900473522647555	1.0	0.5	0.25	0.25	0.25	0.25	1.097170285076464	0.061490625218469395	0.22498801491029483
2000	-5121.619557756989	-5119.472801550411	-2.146756206578265	-5119.472801550411	0.4600969382521275	2.184073288051385	1.0	0.4500759457607939	3.7333682696031243	2.7966477869482995	0.35715607518003006	0.277798764746744	0.24819075210441663	0.22710120049704302	0.24690928265179643	0.8482158898716216	0.25547644125193486	0.47146876313990654
4000	-5085.683040503316	-5084.429839779575	-1.2532007237410216	-5084.429839779575	0.2844518270501459	2.427224914690178	1.0	0.17768132849183402	4.269665961611411	6.0702403794524304	0.12415509497324548	0.2787808169265836	0.2789286329867424	0.19760600754507587	0.24468454254159822	0.9343633611137009	0.031951473724034896	0.18480486865700332
6000	-5085.932656074961	-5086.979625739322	1.0469696643602266	-5086.979625739322	0.2533780227105901	2.7910596067053786	1.0	0.0503378844158733	5.6080017173101915	4.974480131129575	0.11549012770233903	0.2787808169265836	0.2789286329867424	0.1974457642673976	0.2448447858192765	0.988655605861942	0.0012866365561105208	0.03616514421340751
8000	-5079.960380450897	-5079.830664690359	-0.1297157605380821	-5079.830664690359	0.25650115603688795	2.396348736784968	1.0	0.042510666024033174	3.7110298448771415	2.903048923687822	0.7071865428004611	0.2749899954504805	0.2914182577658237	0.18942046311104843	0.2441712836726475	0.9942330911854246	0.001667905636026431	0.040677927213524256
10000	-5078.7973782179415	-5080.204886293986	1.407508076044464	-5080.204886293986	0.2504649910454383	2.486058619098208	1.0	0.028258553407145087	5.262287629318738	3.68095538426784	0.24137732649782365	0.2715129753598036	0.3034047969041822	0.17979378992110917	0.2452884378149051	0.9998766052723065	5.721676228882945E-4	0.02379030047563118
12000	-5068.174876158417	-5068.50695782584	0.3320816674232634	-5068.50695782584	0.25034542228607076	2.3593944253886177	1.0	0.1946922958404243	5.325475890846356	3.142538281097541	0.1318192946458739	0.27871149356023367	0.2984140534352811	0.17216439094806382	0.25071006205642155	0.9898847961402854	0.04886175121148255	0.22494455313980177
14000	-5066.625901252946	-5066.087288224781	-0.538613028165384	-5066.087288224781	0.26830806238587224	2.5272647878502466	1.0	0.024342726402436825	3.7891700026681603	6.63630566969596	0.33274620829773044	0.2743423935337823	0.30549766614882057	0.15816443508985153	0.2619955052275457	1.003400919871762	6.705033331745275E-4	0.025863687750608568
16000	-5063.0430788054655	-5064.002378691895	0.9592998864295263	-5064.002378691895	0.2631636234435034	2.5272647878502466	1.0	0.005308072837394125	4.395278057613496	5.708169944915226	0.3694253246885485	0.28136643304971387	0.306594886188459	0.1532541494183819	0.2587845313434454	0.9980311875304074	1.9479013565724174E-5	0.0044230300972574335
18000	-5061.550302878199	-5062.819699157874	1.2693962796759415	-5062.819699157874	0.2692356901891372	2.245482074014197	1.0	0.06586407723701691	5.729288952319784	4.658520895212494	0.033449879724339084	0.29122511560369024	0.2998314107198237	0.1435353016383319	0.26540817203815426	1.007777850717525	0.0035713485742783547	0.058978975989881714
20000	-5059.993705556514	-5059.15081484008	-0.8428907164344046	-5059.15081484008	0.2501786040915261	2.507179396819889	1.0	0.1411300745019273	3.603591194617991	2.1588112539817588	0.05916041839774586	0.2849555769980026	0.29890474369568515	0.14110010959273403	0.27503956971357835	0.9716743723212768	0.020755340273411145	0.14332070768547414
22000	-5057.427875508889	-5058.37372420465	0.9458486957608607	-5058.37372420465	0.2617388370148691	2.507179396819889	1.0	0.10625316935502971	5.707654998630124	4.053228128546457	0.14952141841681157	0.28292107608051165	0.3037942739826251	0.14186984571687833	0.27141480421998504	1.0064089950108008	0.008991123747175896	0.09428330390117579
24000	-5056.321834346326	-5056.583946821891	0.26211247556555417	-5056.583946821891	0.2545979875004888	2.507179396819889	1.0	0.11912720487516719	4.785190379164791	2.7860163164834315	0.1357558648123304	0.28735765836752936	0.3042951082585716	0.12516701466656666	0.28318021870733256	0.9795753157982234	0.012725760755872784	0.11654950758702183
26000	-5056.272427557357	-5059.613894032199	3.341466474841879	-5059.613894032199	0.2456852623624228	2.4616483217033114	1.0	4.959286214324941E-4	5.092814246933006	3.0599645492002883	0.2744294487939446	0.27730202511783436	0.29458943896941636	0.13856210657680929	0.28954642933594016	1.000034852253304	1.188189767612127E-7	3.4469068220643217E-4
