#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:ratites" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="BirthRate.t:ratites" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:ratites">
#                <taxonset id="TaxonSet.ratites" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ratites" name="distribution" x="@BirthRate.t:ratites">
#            <LogNormal id="LogNormalDistribution1" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter" lower="0.0" name="M" upper="0.0">2.0</parameter>
#                <parameter id="RealParameter1" lower="0.0" name="S" upper="0.0">1.0</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="FrequencyPrior.t:ratites" name="distribution">
#            <parameter dimension="4" id="freqParameter.t:ratites" name="x">0.25</parameter>
#            <Dirichlet id="Dirichlet1" name="distr">
#                <parameter dimension="4" id="RealParameter2" lower="0.0" name="alpha" upper="0.0">0.3 0.3 0.3 0.3</parameter>
#            </Dirichlet>
#        </prior>
#        <prior id="KappaPrior.t:ratites" name="distribution">
#            <parameter id="kappa.t:ratites" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistribution0" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter3" lower="0.0" name="M" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter4" lower="0.0" name="S" upper="0.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="RatePrior.t::ratites" name="distribution">
#            <parameter dimension="12" id="rates.c:ratites" lower="0.0" name="x" upper="5.0">1.0</parameter>
#            <LogNormal id="LogNormalDistribution2" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter5" lower="0.0" name="M" upper="0.0">1.0</parameter>
#                <parameter id="RealParameter6" lower="0.0" name="S" upper="0.0">0.1</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:ratites" name="distribution">
#            <parameter id="ucldStdev.c:ratites" lower="0.0" name="x">0.2</parameter>
#            <LogNormal id="LogNormalDistribution3" meanInRealSpace="true" name="distr">
#                <parameter id="RealParameter7" lower="0.0" name="M" upper="0.0">0.1</parameter>
#                <parameter id="RealParameter8" lower="0.0" name="S" upper="0.0">0.1</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	BirthRate	kappa	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-13.846123331151459	NaN	-13.846123331151459	NaN	1.6102190954652515	5.002098606821035	-5.002098606821035	1.0	2.0	0.2	1.0	0.0	0.0	0.25	0.25	0.25	0.25
1000	5.191508497321662	NaN	5.191508497321662	NaN	0.9548156403900644	2.883956807972736	-1.6089031349657477	2.161915648290707	1.6026870331793206	0.07868759051208161	1.0498724342545107	0.006900087376864506	0.07815511438553513	0.24301394370903903	0.24100147896708027	0.2497845987368373	0.2661999785870433
2000	5.900041540235238	NaN	5.900041540235238	NaN	0.9173508494424797	3.381157911959402	-3.20006851418501	1.075342042786309	0.676993000792651	0.09710252820203072	1.0167066527122564	0.015115187210575759	0.12155832037998814	0.24194842608593062	0.23151467498137443	0.259556993330906	0.26697990560178886
3000	10.182869889953247	NaN	10.182869889953247	NaN	0.6927373106330592	2.0544012094354316	0.4110614769629848	3.16295658143222	0.22067859424433695	0.12010981254079231	0.9628581632764064	0.010231758550322751	0.10440795401562677	0.24628884253830136	0.24139830344254876	0.2517734579629884	0.2605393960561614
4000	18.388154717472638	NaN	18.388154717472638	NaN	0.12891467211878418	0.44252563410901224	9.579581735788683	11.694299959081592	0.13272805087805353	0.1017788845028619	0.9768637151471158	0.008337776235662646	0.09398993701771433	0.2566639213710904	0.2271301001078123	0.2589931579519386	0.2572128205691586
5000	19.5615621139265	NaN	19.5615621139265	NaN	0.19846551342963178	0.558985727451532	8.231652145399874	11.321926386014843	0.1901578348620286	0.10225882535242693	0.9902329935219866	0.004942207757704347	0.07027466743671981	0.2570248285329481	0.2271301001078123	0.26736143555187153	0.248483635807368
6000	6.614819898602739	NaN	6.614819898602739	NaN	0.6116600710173424	2.1745076654489064	0.03330097137592869	3.1552137607432367	0.8577425752248203	0.0894697808088394	0.9755100214643284	0.015161292397808246	0.1252743738878068	0.24535776444458732	0.22901244910067597	0.268894803695667	0.25673498275906964
7000	2.544839664335645	NaN	2.544839664335645	NaN	2.143884902631321	8.035859096665579	-7.7843386953729095	0.8256834039365035	1.5121779276503968	0.11012455257078817	0.9849601411202896	0.009554004801019563	0.09517059621979641	0.25061202231216034	0.23541844151409	0.24967610730820924	0.26429342886554025
8000	9.393010184637305	NaN	9.393010184637305	NaN	1.9076064980266363	5.392114749089881	-6.064773736431994	0.656538726480651	0.4929800683482462	0.09895379438425023	0.9606548423383461	0.00567435330257767	0.07698559399660714	0.23370864225138444	0.2458832628763073	0.255026874126271	0.2653812207460371
9000	-5.021408610519233	NaN	-5.021408610519233	NaN	14.301565235869838	51.73170936427988	-19.133916385189757	0.08805995204463248	0.8651908078270095	0.10516188170449775	0.9787071537472882	0.004265969596104295	0.06655408077888451	0.23370864225138444	0.2458832628763073	0.255026874126271	0.2653812207460371
10000	2.7733643227860556	NaN	2.7733643227860556	NaN	3.509850074860699	11.444753660589619	-9.946113277306907	0.6093987004075311	1.3640839588957427	0.10067158077761593	1.025600101574262	0.008551309003424781	0.09406520476955017	0.23832222591549024	0.2711105442982989	0.23909762954948865	0.25146960023672205
11000	0.15817161116647105	NaN	0.15817161116647105	NaN	3.8571923843622122	14.810371480201207	-11.422042114329415	0.39926678447342373	1.5788049557749964	0.1092081708149908	0.9660442014731454	0.007303147260499776	0.08926884208744894	0.2390511847094028	0.27457600444723984	0.22863868483464506	0.25773412600871215
12000	-4.141971230670712	NaN	-4.141971230670712	NaN	8.774265760116297	43.0570341155134	-18.357404528458293	0.20659978212623198	0.560314726170836	0.0989457208409582	0.9854698533847809	0.0072594221301386826	0.08667738311829964	0.24932945733360304	0.27457600444723984	0.21325283156394653	0.2628417066552104
13000	3.3381333456286217	NaN	3.3381333456286217	NaN	2.4810100195794034	8.642716259498458	-8.460496589519341	0.9241709554018527	0.14904181178933493	0.09744477142008814	0.9678427807664357	0.012427606737929791	0.11357955613713398	0.2522312321490621	0.27457600444723984	0.2169032897526237	0.2562894736510742
14000	2.726514884753868	NaN	2.726514884753868	NaN	1.4441719521480771	6.286650823200875	-7.06247778077617	1.5280989236600988	0.09527674674282793	0.09807310668521022	0.9882853415959089	0.014910361764653667	0.1168775083872253	0.25663067588970984	0.26946170618444226	0.2169032897526237	0.25700432817322405
15000	0.3246703015220824	NaN	0.3246703015220824	NaN	5.14101456475842	18.496882530174627	-12.930380246651161	0.4092387100040517	0.03650797831439231	0.12310787952195058	0.9421360705313121	0.005593982448562128	0.07767528102256999	0.26035999018662737	0.2697168217825034	0.22087143609429521	0.24905175193657386
16000	0.4265469082370599	NaN	0.4265469082370599	NaN	4.6997509545408125	19.002402910007618	-13.336284704374282	0.4489665625478172	0.1481978093625799	0.1079349237633958	0.9921193502406738	0.009955866420142416	0.09855825230032174	0.2668728564136196	0.2632039555555112	0.22390893722313523	0.24601425080773384
17000	-4.881378376395791	NaN	-4.881378376395791	NaN	4.638878329862906	12.947080188569576	-10.615048683105341	0.4582034763774944	1.3391481688024691	0.0839985751452086	0.9388327449329609	0.016322564120111037	0.13120781014320848	0.26540266792758505	0.2684845231376287	0.22942670126371434	0.23668610767107173
18000	-2.749842980134174	NaN	-2.749842980134174	NaN	4.954798731607106	17.044465221796802	-12.264482609050784	0.3501364046390231	1.7516102303289927	0.1035488379653886	0.9747005451161784	0.012617761225684577	0.11518095490277484	0.26540266792758505	0.2648892042877015	0.22780598851578868	0.2419021392689246
